@relation 'city_day-weka.filters.unsupervised.attribute.NumericCleaner-min1.0E-9-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C12-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C14-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-Lfirst-last-M-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C18-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast-weka.filters.unsupervised.attribute.Remove-R17-18-weka.filters.unsupervised.attribute.NominalToBinary-R1-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9-10,12,14,16-18,20-21,23-25-weka.filters.unsupervised.attribute.NumericToNominal-R1-9-weka.filters.unsupervised.attribute.Remove-R18,20,22-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V'

@attribute City=Amaravati {0,1}
@attribute City=Amritsar {0,1}
@attribute City=Chandigarh {0,1}
@attribute City=Delhi {0,1}
@attribute City=Gurugram {0,1}
@attribute City=Hyderabad {0,1}
@attribute City=Kolkata {0,1}
@attribute City=Patna {0,1}
@attribute City=Visakhapatnam {0,1}
@attribute Date date yyyy-MM-dd
@attribute PM2.5 numeric
@attribute PM10 numeric
@attribute NO numeric
@attribute NO2 numeric
@attribute NOx numeric
@attribute NH3 numeric
@attribute CO numeric
@attribute O3 numeric
@attribute Toluene numeric
@attribute AQI numeric
@attribute AQI_Bucket {Poor,'Very Poor',Severe,Moderate,Satisfactory,Good}

@data
0,0,0,0,0,1,0,0,0,2020-06-29,20.24,44.74,3.96,27.59,17.09,13.09,0.38,19.98,10.83,47,Good
0,1,0,0,0,0,0,0,0,2020-04-29,24.61,86.73,26.75,19.19,36.02,14.53,0.76,43.57,1.1,72,Satisfactory
0,0,0,0,0,0,0,0,1,2019-03-17,34.35,105.79,12.83,37.82,30.54,11.04,0.62,15.39,2.82,98,Satisfactory
0,0,0,0,0,0,0,0,1,2018-03-18,93.98,157.14,8.91,52.36,35.1,14.86,0.91,51.39,16.1,224,Poor
0,0,0,0,0,1,0,0,0,2019-04-08,33.08,85.8,4.7,34.43,21.92,13.2,0.68,34.53,7.86,80,Satisfactory
1,0,0,0,0,0,0,0,0,2018-02-18,42.71,80.24,15.9,17.35,22.25,24.68,0.49,30.68,3.09,87,Satisfactory
0,0,0,1,0,0,0,0,0,2015-10-29,95.72,183.08,25.74,57.74,77.86,25.55,1.89,73.26,11.41,262,Poor
0,0,0,0,0,1,0,0,0,2019-03-29,59.8,146.25,5.28,47.46,28.9,17.95,0.79,37.07,18.76,127,Moderate
0,0,0,0,0,0,0,0,1,2017-12-01,61.99,126.25,11.77,40.34,30.94,10.89,0.91,90.05,6.23,122,Moderate
0,0,0,0,0,0,0,0,1,2017-12-09,55.61,111.86,10.14,44.59,31.93,11.12,1.06,53.68,4.93,104,Moderate
1,0,0,0,0,0,0,0,0,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,23.99,2.92,114,Moderate
0,0,0,0,0,1,0,0,0,2016-12-30,61.49,104.8,9.17,49.74,10.35,25.35,0.37,80.55,0.48,160,Moderate
0,0,0,0,0,1,0,0,0,2018-08-26,14.61,45.18,5.98,24.79,17.43,18.28,0.27,11.18,3.42,50,Good
0,0,0,0,0,1,0,0,0,2020-04-22,25.12,46.3,7.57,26.18,18.57,17.45,0.39,23.58,5.18,50,Good
1,0,0,0,0,0,0,0,0,2018-03-01,38.1,97,7.1,22.21,17.68,19.27,0.79,22.73,2.12,100,Satisfactory
0,0,0,0,0,1,0,0,0,2018-05-04,19.59,48.18,4.72,31.67,20.45,12.8,0.62,50.95,4.95,81,Satisfactory
0,0,1,0,0,0,0,0,0,2020-03-22,18.63,42.79,4.03,9.7,8.37,60.29,0.53,14.6,0.22,62,Satisfactory
0,0,0,0,0,0,0,0,1,2019-01-12,115.8,203.73,17.74,56.99,44.71,13.85,1,90.12,6.65,291,Poor
1,0,0,0,0,0,0,0,0,2018-03-05,30.04,83.07,11.58,24.74,22.65,12.52,0.78,17.81,1.91,83,Satisfactory
0,0,0,0,0,0,0,0,1,2017-12-28,88.29,195.79,28.26,60.83,55.3,11.48,1.28,57.78,7.63,203,Poor
1,0,0,0,0,0,0,0,0,2018-03-07,38.21,78.95,5.71,19.03,14.85,14.15,0.75,22.81,2.19,81,Satisfactory
0,0,0,0,0,1,0,0,0,2018-06-06,31.33,62.83,2.43,29.59,17.68,18.13,0.64,47.76,6.2,84,Satisfactory
0,0,0,0,0,1,0,0,0,2017-12-16,68.87,131.11,7.78,48.12,31.68,15.3,0.88,42.31,16.57,133,Moderate
1,0,0,0,0,0,0,0,0,2018-03-10,49.04,102.46,5.75,19.92,15.26,14.09,0.64,26.52,2.5,105,Moderate
0,0,0,0,0,0,0,0,1,2018-10-24,90.26,226.33,19.84,63.2,49.75,13.67,1.04,51.64,15.38,228,Poor
0,0,0,0,0,1,0,0,0,2020-05-15,24.12,56.89,6.46,23.33,16.59,10.57,0.34,27.84,9.9,60,Satisfactory
1,0,0,0,0,0,0,0,0,2018-03-13,26.43,80.85,10.73,20.82,19.8,11.64,0.72,16.52,2.24,78,Satisfactory
0,0,0,0,0,1,0,0,0,2018-06-05,31.51,67.42,3.15,30.16,18.39,14.27,0.62,48.4,5.9,83,Satisfactory
